Date,Startup Name,Industry,Sub-Vertical,City,Investors’ Name,Investment Type,Amount (In USD),Year,Funding Segment
2016-02-17,The Viral Fever,Consumer Internet,Independent Online Video production company,Mumbai,Tiger Global,Private Equity,10.0,2016,Small Startup
2015-01-19,CBS,Industry / Vertical,Sub-Vertical,City / Location,Hyderabad Angels (at Startup Heroes event),Seed Funding,16000.0,2015,Small Startup
2015-01-19,Enabli,Industry / Vertical,Sub-Vertical,City / Location,Hyderabad Angels (at Startup Heroes event),Seed Funding,16000.0,2015,Small Startup
2015-01-19,Yo Grad,Industry / Vertical,Sub-Vertical,City / Location,Hyderabad Angels (at Startup Heroes event),Seed Funding,16000.0,2015,Small Startup
2015-01-19,Play your sport,Industry / Vertical,Sub-Vertical,City / Location,Hyderabad Angels (at Startup Heroes event),Seed Funding,16000.0,2015,Small Startup
2015-01-19,Hostel Dunia,Industry / Vertical,Sub-Vertical,City / Location,Hyderabad Angels (at Startup Heroes event),Seed Funding,16000.0,2015,Small Startup
2015-02-02,Leaf,Industry / Vertical,Sub-Vertical,City / Location,Group of Angel Investors,Seed,16600.0,2015,Small Startup
2015-02-02,CleverSharks,Industry / Vertical,Sub-Vertical,City / Location,Group of Angel Investors,Seed,16600.0,2015,Small Startup
2015-02-02,Dealwithus,Industry / Vertical,Sub-Vertical,City / Location,Group of Angel Investors,Seed,16600.0,2015,Small Startup
2015-02-02,Chloroplast Foods,Industry / Vertical,Sub-Vertical,City / Location,Group of Angel Investors,Seed,16600.0,2015,Small Startup
2015-02-02,InstaBounce,Industry / Vertical,Sub-Vertical,City / Location,Group of Angel Investors,Seed,16600.0,2015,Small Startup
2015-02-02,Faaya,Industry / Vertical,Sub-Vertical,City / Location,Group of Angel Investors,Seed,16600.0,2015,Small Startup
2017-01-30,Maptags,Consumer Internet,Smart Online address tags,Bengaluru,The Ten Minute Million,Seed Funding,18000.0,2017,Small Startup
2015-07-08,33Coupons,Coupon Aggregator Platform,Coupon Aggregator Platform,Kanpur,Not Disclosed,Seed Funding,20000.0,2015,Small Startup
2016-02-02,Strike,Consumer Internet,Mobile Email productivity tool,Bengaluru,Multiple investors through Ten Minute Million competition,Seed Funding,22500.0,2016,Small Startup
2016-02-02,Gamooz,Technology,Augmented Reality Solutions,Gurugram,Multiple investors through Ten Minute Million competition,Seed Funding,22500.0,2016,Small Startup
2016-02-02,SoundSurround,Technology,Audio Technology Solutions,Mumbai,Multiple investors through Ten Minute Million competition,Seed Funding,22500.0,2016,Small Startup
2016-02-02,MaaxMarket,Consumer Internet,Marketing Automation platform,Unknown,Multiple investors through Ten Minute Million competition,Seed Funding,22500.0,2016,Small Startup
2017-01-30,Cloudrino,Technology,Cloud based Virtual Servers,Delhi,The Ten Minute Million,Seed Funding,22500.0,2017,Small Startup
2016-10-14,Newspatrolling,Consumer Internet,Online News portal,Delhi,Undisclosed,Seed Funding,25000.0,2016,Small Startup
2016-08-06,VST Travels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,27000.0,2016,Small Startup
2016-02-03,Woodpie,Consumer Internet,Book Recommendation Service,Bengaluru,Ingram Content Group,Seed Funding,30000.0,2016,Small Startup
2017-03-07,Book Servicing,Consumer Internet,Online Vehicle Services Booking platform,Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,30000.0,2017,Small Startup
2016-03-19,goSporto,Consumer Internet,Online Sports discovery and booking platform,Delhi,Naveen Gupta,Seed Funding,30000.0,2016,Small Startup
2016-02-04,Perfumery,ECommerce,Fragrances & Perfume eTailer,Delhi,Oranda Global & Others,Seed Funding,30000.0,2016,Small Startup
2016-06-13,Matrubharti,Consumer Internet,e-Book Publisher,Unknown,Viridian Capital,Seed Funding,30000.0,2016,Small Startup
2015-01-07,Stridalyzer,Industry / Vertical,Sub-Vertical,City / Location,Kickstarter,Crowd Funding,30768.0,2015,Small Startup
2016-02-22,Styledotme,Consumer Internet,Mobile Fashion App,Delhi,Indian Angel Network,Seed Funding,37000.0,2016,Small Startup
2017-11-27,ERA,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,39000.0,2017,Small Startup
2017-02-08,Edurev,Consumer Internet,Online Education Portal,Gurugram,Facebook FB Start programme,Seed Funding,40000.0,2017,Small Startup
2017-02-22,Vebbler,Consumer Internet,Photo Sharing for Groups,Bengaluru,Facebook FBStart,Seed Funding,40000.0,2017,Small Startup
2017-02-18,Blood n Care,Consumer Internet,First Aid care app,Gurugram,Facebook FBStart,Seed Funding,40000.0,2017,Small Startup
2017-02-17,Leopetra,ECommerce,Solution provider for pet needs,Mumbai,Facebook FBStart,Seed Funding,40000.0,2017,Small Startup
2016-04-08,imedilane,Consumer Internet,Online Health Diagnosis platform,Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,40000.0,2016,Small Startup
